City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,Watsa,3.0372,29.5355,67.69,50,43,2.75,CD,1673734554
300,Sainte-Marie,-20.8968,55.5496,77.13,81,40,13.8,RE,1673734554
301,Port Macquarie,-31.4333,152.9167,78.89,67,5,7.67,AU,1673734555
302,Lagoa,39.05,-27.9833,54.45,54,25,24.83,PT,1673734555
303,Moroni,-11.7022,43.2551,79.14,78,99,3.0,KM,1673734291
304,Hatillo,18.4863,-66.8254,81.79,72,91,4.59,PR,1673734556
305,Nālūt,30.3333,10.85,47.91,57,0,7.7,LY,1673734556
306,Katastari,37.8333,20.7667,46.29,73,99,3.94,GR,1673734557
307,San Quintín,30.4833,-115.95,62.98,62,88,8.48,MX,1673734557
308,Comodoro Rivadavia,-45.8667,-67.5,60.66,55,0,13.8,AR,1673734558
309,Asău,46.4333,26.4,31.28,93,63,2.57,RO,1673734559
310,Jiexiu,37.0244,111.9125,17.04,48,100,8.84,CN,1673734559
311,Namatanai,-3.6667,152.4333,80.69,80,77,4.68,PG,1673734559
312,Souillac,-20.5167,57.5167,77.38,83,40,10.36,MU,1673734560
313,Barra de Tecoanapa,16.5167,-98.75,83.01,64,0,10.71,MX,1673734560
314,Esmeraldas,-19.7625,-44.3139,81.46,88,100,4.34,BR,1673734560
315,Dutlwe,-23.9833,23.9,77.54,32,77,8.19,BW,1673734561
316,Catuday,16.2923,119.8062,77.07,78,34,12.88,PH,1673734561
317,Ikungi,-5.1333,34.7667,60.66,89,100,4.52,TZ,1673734562
318,Touros,-5.1989,-35.4608,80.08,75,100,14.9,BR,1673734563
319,Cockburn Town,21.4612,-71.1419,76.96,78,75,9.22,TC,1673734564
320,Luga,58.7372,29.8453,36.41,94,100,11.32,RU,1673734565
321,Husavik,66.0449,-17.3389,18.48,72,100,7.61,IS,1673734307
322,Saurimo,-9.6608,20.3916,65.12,98,100,3.04,AO,1673734566
323,Asilah,35.465,-6.0348,51.76,83,38,4.23,MA,1673734567
324,Mandiana,10.6333,-8.6833,77.09,16,55,5.01,GN,1673734568
325,Juneau,58.3019,-134.4197,37.09,97,100,0.0,US,1673734323
326,Constantine,36.365,6.6147,40.41,87,0,0.0,DZ,1673734570
327,Vung Tau,10.346,107.0843,76.21,89,42,6.96,VN,1673734570
328,Mindelo,16.8901,-24.9804,71.15,73,20,25.32,CV,1673734571
329,Fayetteville,35.0527,-78.8784,46.89,48,100,10.36,US,1673734293
330,Christchurch,-43.5333,172.6333,73.42,56,6,11.5,NZ,1673734340
331,Santander Jiménez,24.2167,-98.4667,74.17,26,0,12.55,MX,1673734573
332,Ciudad Bolivar,8.1222,-63.5497,85.8,48,28,5.35,VE,1673734574
333,Ugoofaaru,5.6667,73.0,79.25,70,37,8.01,MV,1673734575
334,Taoudenni,22.6783,-3.9836,66.69,20,0,12.82,ML,1673734576
335,Fenoarivo,-18.933,47.4354,64.47,100,75,4.61,MG,1673734576
336,La Ronge,55.1001,-105.2842,15.33,95,100,8.9,CA,1673734528
337,Marsh Harbour,26.5412,-77.0636,61.5,55,71,30.49,BS,1673734578
338,Perth,-31.9333,115.8333,63.03,57,0,17.27,AU,1673734579
339,Tavira,37.1273,-7.6486,53.47,69,51,4.03,PT,1673734579
340,El Carrizo,24.0261,-106.8814,79.75,44,0,7.38,MX,1673734581
341,Arman',59.7,150.1667,-8.99,97,100,12.59,RU,1673734581
342,Los Llanos de Aridane,28.6585,-17.9182,62.35,71,75,8.99,ES,1673734582
343,Ballybofey,54.8,-7.7833,39.74,76,74,19.15,IE,1673734582
344,Zhezkazgan,47.8043,67.7144,-7.2,90,36,4.03,KZ,1673734583
345,Fortuna,40.5982,-124.1573,54.66,77,40,9.22,US,1673734584
346,Ergani,38.2653,39.7621,36.99,98,100,2.73,TR,1673734585
347,Palmer,42.1584,-72.3287,32.63,69,75,14.97,US,1673734523
348,Lorengau,-2.0226,147.2712,83.08,75,100,10.45,PG,1673734586
349,Saint-Pierre,-21.3393,55.4781,74.91,73,0,4.61,RE,1673734588
